anciennete_mois,facture_moyenne,nb_reclamations_12m,nb_appels_support_3m,satisfaction,nb_options,freq_portail_mois,variation_facture_3m,delai_resolution_incident_h,score_fidelite,region,mode_paiement,churn
94,103.768186,8,22,2.95,0,28,11.65,54.89,38,Est,carte,0
60,200.561122,3,19,5.99,10,"31,00",-5.83,62.04,62,Sud,virement,0
95,178.774419,12,9,7.34,10,26,55.82,30.33,28,Sud,prelevement,0
51,93.216391,13,3,7.12,1,9,62.1,7.58,81,Ouest,virement,0
55,59.484766,10,11,5.28,9,2,8.98,26.54,94,Nord,prelevement,0
36,128.587991,15,1,3.57,0,17,-27.47,30.26,29,Sud,prelevement,0
40,196.063388,3,21,9.09,6,3,73.55,70.1,46,Est,carte,0
94,188.481475,7,3,3.79,3,40,8.0,86.7,55,Nord,carte,0
9,117.400403,0,12,9.21,9,5,64.33,55.94,94,Est,virement,0
54,40.711551,9,14,1.18,2,13,56.25,72.87,28,Nord,virement,0
95,60.866215,16,20,2.21,3,14,73.76,91.94,11,Nord,prelevement,1
36,164.474251,3,21,3.23,0,12,-6.39,9.67,52,Nord,virement,0
52,169.941235,11,13,5.75,2,42,18.7,33.23,68,Ouest,virement,0
86,119.274559,14,2,9.66,2,42,43.12,94.76,95,Est,carte,0
23,168.040615,10,2,6.74,5,21,26.82,74.46,20,Est,prelevement,0
49,163.30466,11,4,8.46,3,41,26.55,5.78,16,Nord,carte,0
9,184.571472,13,7,8.54,9,12,26.52,8.64,50,Ouest,carte,0
38,5.731519,17,5,5.76,8,1,49.49,7.71,19,Nord,carte,0
22,93.407596,13,21,9.73,2,14,19.96,52.28,17,Nord,prelevement,0
35,161.097312,14,5,9.77,1,8,4.5,33.34,12,Est,prelevement,0
83,94.768259,1,12,9.39,4,22,-32.15,38.96,57,Est,virement,0
8,110.372433,0,19,8.28,9,31,58.38,77.61,17,Nord,prelevement,0
19,105.522563,17,3,9.92,8,14,19.88,90.47,53,Sud,carte,0
56,91.017342,6,21,2.61,3,19,66.9,30.13,51,Est,prelevement,0
31,220.265447,8,11,3.46,3,5,0.16,20.15,95,Sud,prelevement,0
83,184.580559,9,9,1.71,1,40,43.79,95.1,4,Est,prelevement,1
95,166.128941,7,15,5.79,7,17,23.06,94.12,79,Sud,prelevement,0
68,215.036905,1,20,4.6,6,1,17.94,70.81,42,Nord,prelevement,0
53,128.570538,1,4,7.33,7,16,9.46,43.58,34,Ouest,carte,0
75,84.895889,2,9,2.33,4,32,18.15,69.34,70,Sud,carte,0
5,40.574139,16,5,6.53,2,13,44.38,69.16,51,Nord,virement,0
27,143.630361,4,0,9.79,10,15,12.28,34.74,93,Ouest,carte,0
14,184.497984,14,7,6.34,8,41,42.97,18.55,75,Est,virement,0
52,144.805731,0,14,7.78,9,15,53.01,,32,Ouest,prelevement,1
14,161.394698,0,6,4.04,4,13,-32.25,87.83,59,Est,carte,0
35,96.810695,2,3,5.3,3,16,63.33,83.46,94,Nord,prelevement,0
53,140.607497,0,4,2.53,8,23,19.05,86.41,9,Nord,virement,0
69,141.704458,18,18,8.44,10,32,49.66,37.71,3,Est,virement,0
54,71.125522,9,0,6.17,4,44,55.24,41.97,61,Ouest,virement,0
7,121.054198,2,2,6.61,8,14,42.72,12.62,69,Est,virement,0
95,159.489852,17,10,1.3,4,38,20.86,32.29,19,Est,virement,0
87,118.128684,6,2,5.5,1,10,63.68,22.4,79,Ouest,prelevement,0
13,154.239075,2,3,7.08,4,4,73.93,45.68,82,Nord,prelevement,0
64,148.646444,6,14,9.98,3,35,-29.72,8.62,75,Nord,prelevement,0
62,232.483712,11,16,5.21,0,17,,39.15,22,Nord,prelevement,0
90,42.946361,7,17,6.44,7,31,36.15,95.82,25,Est,prelevement,0
94,310.855548,3,4,7.78,,16,15.53,5.51,33,Sud,virement,0
74,78.134225,3,17,6.82,1,24,70.84,46.66,24,Nord,virement,0
5,78.01946,9,21,8.07,7,38,21.31,,33,Sud,carte,0
11,108.79295,6,8,3.61,4,8,6.79,76.98,80,Est,prelevement,0
94,91.962909,14,2,3.52,0,17,73.68,76.33,40,Nord,virement,0
52,105.062064,4,19,5.17,8,14,66.83,24.0,10,Est,virement,0
31,223.95588,7,8,9.28,1,4,1.63,82.43,7,Sud,prelevement,0
55,152.7477,6,7,5.14,6,35,28.07,49.16,16,Nord,prelevement,0
17,118.814876,8,2,6.59,4,19,-13.87,51.74,4,Est,prelevement,0
39,249.062139,12,0,2.06,6,32,48.83,92.4,23,Ouest,carte,0
18,158.041478,6,12,1.55,2,41,31.11,29.54,81,Sud,prelevement,0
95,48.628732,7,6,8.8,3,1,71.11,77.37,43,Est,carte,0
29,189.297033,10,6,5.57,4,21,-11.5,3.2,37,Est,prelevement,0
6,75.433288,2,3,5.77,6,18,35.21,11.38,50,Est,virement,0
16,86.293235,8,19,9.64,10,2,64.6,83.93,40,Nord,prelevement,0
77,210.897648,8,8,3.2,10,19,45.34,63.83,35,Est,carte,1
33,183.388744,8,8,4.39,4,11,54.75,50.19,96,Sud,virement,0
15,211.097258,2,7,5.47,1,"0,00",21.52,26.74,390.11,Ouest,virement,0
70,178.378477,8,7,9.06,3,35,45.3,88.53,57,Est,carte,0
74,108.898193,4,16,6.11,5,4,59.91,7.27,39,Est,prelevement,0
72,155.559137,0,16,4.22,5,NA,-28.36,4.27,46,Est,virement,0
89,33.633151,6,18,7.2,4,28,11.37,65.58,78,Nord,prelevement,0
94,115.818629,16,18,2.77,10,25,14.62,46.47,20,Sud,carte,1
21,13.385288,2,21,2.58,6,17,12.9,37.44,61,Nord,prelevement,0
86,137.326481,17,19,7.29,2,29,74.34,75.5,40,Sud,carte,0
10,96.373749,1,12,5.75,3,41,64.82,1.69,20,Ouest,prelevement,1
12,99.058858,,17,6.28,7,29,64.27,43.38,1,Nord,prelevement,1
70,108.010531,9,14,1.38,1,24,43.35,88.06,83,Est,carte,0
18,169.753737,9,8,3.89,5,23,26.94,95.39,87,Sud,virement,0
96,0,7,0,1.91,6,36,-21.95,68.44,21,Est,carte,1
74,22.923927,7,21,5.67,5,33,55.41,37.14,46,Ouest,virement,0
22,79.074798,16,4,8.2,6,3,9.07,93.65,90,Ouest,prelevement,0
64,47.43957,9,13,7.08,9,26,20.94,36.06,92,Est,prelevement,0
76,174.766198,16,9,5.1,8,45,41.1,43.98,64,Ouest,carte,0
61,46.100883,10,2,3.37,7,24,71.73,11.8,62,Sud,carte,0
19,196.878889,13,22,1.24,5,26,-17.45,43.92,18,Ouest,carte,0
93,12.398714,17,10,1.95,7,28,30.17,56.89,75,Sud,virement,0
63,134.941166,2,1,3.63,4,28,-8.11,49.92,29,Sud,virement,0
26,67.083199,7,4,1.03,6,37,12.05,9.8,54,Est,prelevement,0
5,106.954965,0,15,8.4,9,16,22.46,88.9,95,Ouest,virement,0
57,32.604468,10,13,2.33,1,1,-8.29,26.51,64,Ouest,prelevement,0
46,133.551456,1,21,1.9,8,45,72.48,65.37,89,Nord,prelevement,0
7,46.30957,6,5,8.3,3,2,35.89,69.0,96,Ouest,virement,1
80,0,13,4,6.91,2,37,39.37,42.72,26,Est,virement,0
7,25.508378,18,12,5.49,8,24,-27.26,21.05,5,Sud,virement,0
15,96.8719,12,17,2.79,0,29,50.17,46.9,23,Nord,virement,0
46,21.416713,1,15,3.08,3,16,7.79,32.97,87,Est,prelevement,0
90,119.682379,7,19,2.28,10,20,59.41,45.19,41,Est,carte,0
80,166.886441,17,19,6.87,3,7,53.05,12.2,33,Nord,prelevement,0
59,104.190182,9,22,8.5,3,25,4.77,58.63,8,Nord,carte,0
73,42.157807,15,5,2.98,7,13,39.42,55.02,24,Sud,carte,1
7,16.441963,14,8,5.98,2,5,41.69,54.4,7,Nord,carte,0
45,31.613118,3,9,6.25,9,27,73.05,6.4,14,Sud,prelèvement,0
77,203.142082,5,16.97,7.06,4,36,51.29,69.28,16,Ouest,prelevement,0
63,126.043148,14,17,5.98,8,1,41.69,13.9,50,Ouest,prelevement,1
62,200.222384,2,7,7.26,1,16,69.43,84.33,30,Sud,carte,0
59,136.60156,5,11,9.16,5,3,27.49,52.93,24,Est,carte,0
58,180.25736,,13,2.37,5,33,27.78,52.9,27,Est,carte,1
2,10.16682,14,1,7.11,7,2,-55.25,18.79,80,Sud,virement,1
28,118.121273,8,16,9.6,7,34,49.58,17.24,56,Est,carte,0
73,174.521167,0,4,6.17,3,40,-11.33,5.42,14,Nord,virement,0
69,49.680454,9,0,9.62,10,27,22.29,52.02,60,Ouest,prelevement,0
73,219.761548,17,18,3.3,1,13,-29.09,5.96,11,Ouest,prelevement,0
79,31.730674,15,14,9.05,5,24,40.6,22.78,5,Sud,virement,0
38,39.44789,2,20,9.29,8,38,32.34,61.89,52,Est,carte,0
6,177.67591,12,20,7.89,0,44,22.58,21.04,23,Sud,prelevement,0
26,43.135232,13,10,3.89,2,3,34.92,9.84,76,Est,prelevement,0
7,135.029324,1,6,8.4,6,11,-12.07,58.18,91,Sud,prelevement,0
43,196.404157,4,12,1.78,7,27,-23.53,7.96,18,Est,prelevement,0
36,80.31026,10,20,2.37,0,33,9.7,56.16,38,Nord,virement,0
68,186.03656,15,1,2.74,8,2,54.92,83.61,55,Ouest,virement,0
51,186.589573,2,21,7.59,8,2,31.33,41.14,17,Est,virement,0
4,93.762381,15,8,2.4,0,18,-28.81,33.53,97,Sud,virement,0
24,102.619886,17,8,5.87,7,34,-18.77,14.67,9,Sud,carte,1
