distance_km,poids_kg,volume_m3,cout_transport,delai_preparation_h,nb_points_passage,score_qualite_route,meteo_risque,promesse_delai_h,jour_semaine,transporteur,priorite,retard
201.67,106.63,2.67,238.7,40.94,16,99.95,7.78,43.19,1,T1,express,0
2564.36,30.14,2.79,178.48,42.51,10,20.36,18.71,95.35,4,T1,standard,1
111.83,21.65,0.86,215.37,4.42,18,47.42,25.57,234.13,4,T1,standard,0
3079.42,38.34,2.81,183.32,17.83,11,97.22,51.3,100.08,5,T3,express,1
2285.66,78.26,0.94,444.43,14.92,16,76.75,55.02,63.43,6,T1,express,1
2333.78,114.19,2.39,108.41,40.7,16,55.27,36.47,42.97,5,T3,standard,1
1729.63,90.27,1.59,32.37,21.62,14,21.38,64.18,239.22,2,T1,express,1
3069.05,101.68,1.97,143.67,13.09,18,33.48,10.39,215.17,3,T1,standard,1
1086.72,78.64,2.76,233.36,10.17,10,85.33,62.6,121.5,2,T1,standard,1
1785.57,24.21,0.41,333.94,51.69,12,7.59,72.12,164.56,4,T1,express,0
1686.95,67.91,1.9,414.7,55.52,4,60.36,49.8,110.56,1,T2,standard,1
2029.09,67.62,2.24,241.61,69.63,4,3.32,62.89,113.78,5,T3,express,1
1211.22,95.48,0.56,387.07,11.4,9,74.4,31.16,13.71,4,T3,express,0
1117.23,0.96,0.22,440.72,22.21,8,24.31,31.4,187.68,3,T3,standard,0
1748.76,19.64,0.54,32.32,54.65,6,96.61,99.22,134.52,4,T3,standard,0
2856.78,12.76,0.39,37.09,46.58,13,90.21,56.43,229.96,7,T3,standard,1
1078.34,32.6,2.43,81.19,61.66,18,29.34,15.41,202.59,2,T2,express,0
2068.28,36.36,0.55,54.9,12.54,11,16.53,71.73,236.12,2,T2,standard,0
1612.39,61.84,0.37,276.76,42.07,8,2.39,60.52,30.93,1,T3,express,0
1997.52,72.45,1.24,393.32,33.15,11,85.0,33.04,46.89,6,T2,express,1
2826.28,31.07,3.14,116.85,69.71,18,24.64,33.77,163.59,7,T1,standard,1
