anciennete_mois,facture_moyenne,nb_reclamations_12m,nb_appels_support_3m,satisfaction,nb_options,freq_portail_mois,variation_facture_3m,delai_resolution_incident_h,score_fidelite,region,mode_paiement,churn
84,71.006902,15,21,2.88,0,26,70.26,53.13,85,Est,carte,0
82,110.753877,8,6,3.34,2,10,46.69,4.1,57,Est,virement,0
48,14.162877,17,13,4.37,3,31,4.05,54.2,79,Sud,carte,0
72,142.922313,8,21,5.49,1,37,66.38,78.89,93,Est,virement,0
66,189.234909,3,18,5.83,2,28,38.99,31.5,13,Est,carte,0
59,109.959554,8,11,2.95,2,23,27.47,24.44,53,Sud,virement,1
75,67.929925,9,8,9.25,9,5,-12.77,28.65,14,Est,prelèvement,0
83,98.794429,7,20,5.26,10,13,-26.64,13.07,58,Nord,virement,0
11,126.766268,13,2,9.8,5,23,50.31,16.48,9,Ouest,prelevement,0
60,187.994589,9,19,1.17,10,3,-18.47,12.33,67,Est,carte,0
28,211.429249,18,15,5.66,5,43,-34.88,23.73,12,Nord,virement,1
64,143.022667,11,12,5.07,1,14,-9.86,51.39,65,Ouest,carte,0
44,27.911824,1,10,2.54,0,42,33.11,66.98,29,Nord,carte,0
77,139.809582,17,13,2.43,4,8,67.41,27.33,1,Nord,prelevement,0
82,188.859415,0,17,8.65,1,8,67.11,41.25,4,Ouest,carte,0
76,180.485814,8,2,4.36,0,14,-24.6,67.07,2,Ouest,prelevement,0
11,93.004962,12,12,1.81,6,44,1.88,28.62,16,Ouest,virement,1
81,118.022358,5,0,6.16,9,30,64.2,31.94,18,Nord,virement,0
37,24.603053,17,1,7.28,10,37,-9.37,51.88,21,Ouest,carte,1
42,133.473305,16,3,1.37,6,19,69.51,76.9,64,Nord,virement,0
82,96.313134,16,1,9.52,7,34,52.2,47.94,40,Ouest,virement,0
91,62.033035,4,18,4.41,6,15,34.14,21.27,76,Est,carte,0
65,42.001471,9,11,2.38,2,3,-11.05,46.03,32,Ouest,carte,0
2,208.311088,1,2,2.31,1,12,58.45,62.39,26,Sud,carte,0
55,194.14287,8,14,2.81,5,26,-24.21,60.76,69,Sud,prelevement,0
8,59.698934,12,9,1.08,9,3,34.73,52.43,42,Nord,carte,1
25,29.243105,14,3,7.24,9,26,-0.14,61.39,54,Nord,virement,0
66,165.205425,17,4,9.77,3,31,5.74,76.06,66,Ouest,prelevement,0
31,187.770313,0,7,4.88,8,16,-22.15,29.79,99,Est,virement,0
32,34.521959,15,16,,0,10,-10.15,39.07,12,Ouest,virement,1
21,47.574656,0,17,8.2,8,22,-18.52,70.28,71,Ouest,carte,0
25,55.276422,13,14,7.65,6,35,55.58,20.87,27,Sud,prelevement,0
96,123.697157,7,8,9.96,5,37,-9.8,94.77,,Nord,prelevement,0
50,176.757221,16,10,2.13,8,13,12.85,84.62,22,Nord,virement,1
62,106.431315,9,16,8.55,1,43,-27.86,89.99,83,Est,prelevement,0
3,221.993628,10,1,9.3,0,38,28.09,44.84,54,Est,carte,0
23,81.419387,8,19,8.17,5,3,28.16,25.97,65,Est,carte,0
68,0,6,7,7.98,6,43,38.98,67.26,70,Nord,carte,0
86,138.275459,2,5,8.47,4,2,17.9,36.96,65,Est,carte,0
6,18.207478,0,17,4.89,3,5,12.71,60.46,26,Est,prelevement,0
46,98.979132,8,7,5.86,7,35,-34.28,13.65,37,Sud,prelèvement,0
78,45.403713,14,11,5.48,7,17,46.33,14.52,11,Ouest,carte,0
14,157.207285,3,22,2.08,4,35,18.38,3.64,77,Est,prelevement,1
74,208.687146,10,7,2.04,6,41,13.37,13.03,39,Sud,virement,0
84,215.397495,16,5,4.05,1,26,-3.32,52.02,27,Est,prelevement,0
81,157.948082,5,10,8.82,1,36,65.16,3.22,33,Est,virement,0
37,214.039904,8,8,6.19,10,11,32.31,65.6,79,Ouest,carte,0
41,215.702181,13,3,2.5,7,24,39.09,77.32,16,Nord,carte,0
7,190.868398,8,22,9.09,7,25,33.94,88.49,74,Nord,prelevement,0
67,172.170959,6,13,2.19,6,18,-0.28,57.36,55,Sud,carte,0
86,128.32856,0,3,4.16,5,23,50.14,38.12,65,Sud,virement,0
55,121.638218,14,0,4.81,8,24,-16.65,46.67,9,Nord,virement,0
9,21.527529,1,17,5.84,9,25,8.16,9.6,23,Ouest,prelevement,0
67,209.20331,13,0,5.52,10,27,16.02,43.56,59,Ouest,carte,0
60,121.831481,1,14,7.9,1,1,48.6,81.98,44,Ouest,carte,0
71,160.366419,0,1,4.61,0,27,65.07,17.93,18,Nord,virement,0
9,188.456922,2,22,7.19,6,7,56.33,,9,Ouest,carte,0
10,100.850982,0,17,38.03,1,29,-1.15,89.03,80,Est,prelevement,0
