anciennete_mois,facture_moyenne,nb_reclamations_12m,nb_appels_support_3m,satisfaction,nb_options,freq_portail_mois,variation_facture_3m,delai_resolution_incident_h,score_fidelite,region,mode_paiement,churn
13,110.3,8,0,5.41,8,16,2.01,89.4,22,Nord,carte,0
81,84.96,0,12,7.51,10,15,,90.37,11,Est,carte,1
14,134.3,16,14,2.09,1,40,-13.44,21.82,6,Ouest,virement,0
75,82.27,1,4,7.62,1,29,20.7,45.25,10,Nord,virement,1
80,164.81,18,18,5.49,6,10,7.73,14.64,38,Nord,prelevement,1
18,54.72,4,10,9.34,3,39,38.07,43.31,13,Ouest,virement,0
39,87.22,8,21,4.97,5,26,50.46,63.98,77,Est,prelevement,0
74,179.78,18,10,1.07,2,25,68.61,59.98,40,Ouest,prelevement,1
16,76.73,0.0,5,2.63,2,31,27.76,8.15,51,Sud,virement,0
41,167.81,16,3,2.74,7,25,26.95,74.45,45,Nord,prelevement,1
70,174.92,1,13,9.15,9,34,8.69,50.27,0,Est,carte,1
52,43.03,1,6,9.47,9,3,3.42,53.48,34,Est,virement,0
92,114.15,16,21,7.37,9,24,-29.08,76.16,41,Ouest,virement,1
46,43.54,6,14,3.37,6,25,17.9,18.26,37,Est,prelevement,0
95,32.69,10,1,3.63,6,26,26.23,64.72,22,Nord,virement,1
41,76.88,15,9,8.42,1,22,41.27,33.54,45,Est,prelevement,0
88,183.76,6,3,9.92,8,42,-25.71,33.91,93,Ouest,prelevement,1
86,24.3,7,1,3.25,9,44,23.31,57.18,59,Sud,virement,1
55,117.09,14,7,4.8,2,40,45.48,38.44,44,Sud,virement,1
90,36.61,10,11,8.93,4,3,0.96,24.44,100,Nord,carte,1
89,138.8,18,NA,2.9,5,21,49.55,81.24,94,Nord,prelevement,1
76,78.06,14,0,5.01,8,33,26.92,37.09,74,Est,virement,1
66,44.61,6,20,52.5,9,39,-25.17,93.94,100,Ouest,virement,0
46,207.32,5,1,3.46,7,0,-32.7,51.4,42,Sud,virement,1
28,31.63,8,22,4.48,5,41,5.75,4.99,47,Est,prelevement,0
51,58.72,8,6,3.42,8,13,7.32,77.06,85,Sud,prelevement,0
40,56.46,2,20,6.23,3,23,-33.37,55.14,42,Ouest,prelevement,0
2,114.68,11,2,7.98,1,12,49.87,85.49,78,Sud,virement,0
74,201.59,9,12,7.74,1,29,40.35,65.26,49,Sud,prelevement,1
14,203.84,8,9,2.95,6,32,67.82,16.24,25,Est,virement,0
77,101.41,16,14,1.33,9,45,49.59,6.47,30,Nord,virement,1
6,73.51,14,7,6.78,1,2,23.33,12.48,49,Sud,carte,0
54,92.57,3,17,4.24,7,45,73.91,24.19,88,Ouest,virement,0
87,81.71,0,6,6.82,3,35,16.59,93.53,24,Nord,prelevement,1
67,218.73,6,16,5.44,9,16,12.94,28.37,66,Sud,carte,1
29,103.27,7,19,5.54,5,33,49.0,23.39,46,Ouest,prelevement,0
62,29.16,6,4,2.5,9,3,50.28,89.77,26,Nord,virement,0
86,79.97,3,11,1.05,4,23,-17.44,95.38,46,Nord,carte,1
90,86.79,1,11,7.11,9,23,-12.56,86.98,42,Ouest,virement,1
61,163.14,9,3,4.8,5,25,-8.05,52.54,98,Nord,carte,1
54,216.84,4,22,9.51,9,25,71.48,10.03,9,Ouest,carte,1
40,196.78,14,10,2.58,7,0,59.57,70.54,23,Ouest,prelevement,1
17,32.41,4,18,1.17,2,35,43.83,46.07,11,Ouest,prelevement,0
75,79.68,12,6,7.03,3,1,12.96,87.11,52,Sud,virement,1
41,12.2,3,13,2.8,5,38,-1.28,20.44,48,Nord,carte,0
9,200.99,6,7,1.35,2,33,26.67,57.7,64,Est,virement,0
17,76.82,0,14,4.75,3,24,36.1,26.23,40,Ouest,virement,0
47,189.46,2,15,8.13,6,38,23.96,89.26,79,Sud,carte,0
18,90.09,18,9,4.95,8,26,-19.09,16.52,94,Sud,prelevement,0
33,67.88,1,20,7.52,3,21,71.24,42.72,46,Ouest,prelevement,0
11,189.46,17,21,7.64,9,38,-28.99,12.44,81,Est,virement,0
312.65,172.19,9,13,1.97,9,16,-17.98,36.22,6,Nord,carte,1
62,68.05,3,11,3.75,7,0,61.56,32.65,97,Sud,virement,0
79,136.69,4,1,7.66,2,14,-28.46,14.31,90,Sud,virement,1
24,63.59,16,3,6.07,8,10,68.47,91.54,38,Nord,virement,0
15,173.26,3,8,5.32,1,22,-17.2,30.5,0,Nord,virement,0
25,143.22,0,1,5.54,3,25,-1.03,53.01,13,Nord,virement,0
60,159.6,15,19,2.61,3,19,12.16,61.04,2,Est,carte,1
83,149.72,7,2,4.3,10,41,60.52,22.82,57,Ouest,virement,1
