age,revenu_annuel,anciennete_emploi_mois,montant_credit,duree_credit_mois,taux_endettement,nb_credits_actifs,historique_impayes_24m,score_bureau,ratio_utilisation_cartes,nb_enfants,logement,defaut
58,90728.99,,8857.26,11,0.371906,0,12,478,0.99,4,famille,0
52,68898.67,0,43528.62,12,0.797152,7,6,435,0.26,1,locataire,0
29,20686.66,179,5454.16,51,0.040855,6,1,424,0.75,5,famille,0
34,51425.89,24,33232.38,58,0.622302,5,7,792,0.74,5,locataire,0
64,75726.34,226,15848.17,49,0.296945,7,6,596,0.38,0,locataire,0
26,57246.03,213,37683.48,23,0.100266,1,3,472,0.79,0,proprietaire,1
51,24011.75,130,10032.84,61,0.591453,1,5,408,0.56,5,locataire,0
47,82456.36,47,11246.95,63,0.693996,5,3,504,0.97,6,proprietaire,0
32,70367.66,59,32307.09,63,0.024796,1,1,647,0.78,5,famille,1
27,60241.53,54,33036.18,53,0.751831,3,9,567,0.79,3,proprietaire,1
33,37849.89,174,33865.37,41,0.454963,0,2,762,0.63,6,proprietaire,0
55,87775.07,191,43751.23,75,0.398831,0,9,749,0.9,2,locataire,1
62,24974.36,84,17373.45,70,0.261265,4,10,460,0.83,3,proprietaire,0
51,13040.11,120,15255.1,53,0.524901,0,2,506,0.68,2,locataire,0
42,36036.36,225,28304.49,22,0.063275,6,7,776,0.23,3,proprietaire,0
68,45152.72,159,10319.0,42,0.113872,3,9,449,0.51,3,proprietaire,1
28,67257.8,168,8166.66,72,0.682473,6,3,685,0.79,4,locataire,0
24,451488.04,1,8119.49,63,0.460024,6,2,779,0.01,3,famille,0
34,24987.88,86,26408.33,12,0.484785,5,4,654,0.09,4,famille,0
68,72636.91,103,35379.22,14,0.412071,6,7,541,0.43,6,proprietaire,0
52,15112.07,44,3370.33,36,0.382894,2,5,472,0.01,1,famille,0
55,24718.17,47,5301.67,36,0.244578,4,0,642,0.06,2,locataire,0
58,87707.12,14,16596.2,60,0.595691,7,9,433,0.85,6,locataire,1
62,31669.47,144,34385.68,33,0.636696,1,7,417,0.11,5,famille,1
54,93743.34,8,25026.29,16,0.719087,1,5,762,0.21,6,proprietaire,0
44,37173.1,120,36772.45,57,0.58137,3,4,464,0.99,1,proprietaire,1
33,88352.72,63,6918.99,69,0,5,5,680,0.44,2,proprietaire,0
37,64345.32,232,28889.9,30,0.341267,1,,420,0.33,6,proprietaire,0
56,77888.28,2,40417.25,57,0.775972,6,10,797,0.36,1,locataire,0
58,46937.44,18,13231.52,45,0.193573,6,5,747,0.31,3,locataire,0
22,20458.06,221,12704.13,37,0.074621,0,9,685,0.04,1,famille,0
56,23849.75,219,15433.38,79,0.026282,5,3,580,0.39,4,locataire,0
30,38340.21,32,15569.03,52,0.671704,6,9,570,0.45,4,famille,0
66,91389.36,6,17252.04,12,0.194418,6,11,695,0.89,5,proprietaire,0
58,46440.61,174,35643.72,66,0.36889,3,10,609,0.48,1,famille,0
50,19856.59,50,32647.91,56,0.265569,4,6,702,0.47,3,proprietaire,0
26,54529.25,107,7773.45,7,0.293825,0,2,752,0.34,2,locataire,0
43,21381.4,67,14779.61,33,0.146476,4,5,502,0.97,4,proprietaire,0
60,39260.81,116,44377.89,82,0.261716,7,2,697,0.95,4,locataire,0
44,70147.4,65,6581.88,80,0.607976,6,11,688,0.14,1,proprietaire,0
41,25567.38,104,44846.38,15,0.449511,4,0,720,0.08,2,famille,0
60,14600.75,17,16084.54,54,0.559829,2,6,491,0.79,3,famille,1
68,52085.13,225,8100.86,65,0.429726,7,6,795,0.63,NA,locataire,0
22,62432.8,75,24879.25,75,0.533009,2,0,803,0.98,1,proprietaire,0
23,45916.54,66,24576.79,19,0.514442,4,8,760,0.99,5,proprietaire,1
22,34943.62,102,,81,0.693201,0,4,500,0.63,6,famille,0
35,28444.21,214,20069.02,19,0.512708,1,8,795,0.41,4,famille,0
25,40968.34,51,25489.72,80,0.418455,6,1,562,0.34,2,proprietaire,0
28,76410.9,121,38975.56,72,0.319629,7,1,445,0.72,4,locataire,1
43,41329.28,97,24204.08,59,0.470657,5,2,514,0.18,3,proprietaire,0
52,"36106,78",18,14305.04,27,0.618398,4,6,675,0.48,3,famille,1
62,82235.51,181,26876.42,44,0.510247,5,7,752,0.3,6,famille,0
38,58714.11,173,32789.42,70,0.676513,2,8,555,0.94,5,proprietaire,0
68,93777.16,60,33293.56,40,0.744858,6,0,407,0.62,0,locataire,1
68,12220.6,218,3411.23,75,0.472461,0,4,713,0.37,4,proprietaire,0
31,25423.89,99,39200.72,19,0.374745,6,1,732,0.3,0,proprietaire,0
63,79332.78,98,42870.46,16,0.536719,3,7,625,0.23,2,proprietaire,0
68,46437.53,43,11461.13,12,0,0,3,724,0.19,5,famille,0
52,27021.83,45,28787.91,23,0.22791,1,5,679,0.77,0,famille,0
39,43384.42,35,30050.16,18,0.400597,4,11,432,0.83,0,locataire,0
40,15591.16,148,13863.3,8,0.073839,3,5,661,0.59,4,locataire,0
62,69298.35,13,14408.34,12,0.125385,1,11,721,0.42,6,proprietaire,0
47,42912.39,74,24201.79,26,0.013304,3,9,444,0.38,1,famille,1
53,66496.37,35,35222.94,38,0.382397,1,4,674,0.5,5,locataire,0
65,49270.55,136,7345.47,36,0.025037,1,10,704,0.47,2,locataire,0
34,51664.93,60,25894.0,70,0.630291,4,10,722,0.7,3,proprietaire,0
35,41306.01,218,43320.09,56,0.464272,7,9,530,0.4,2,famille,1
35,80573.3,82,3810.09,38,0.240317,6,2,679,0.96,3,locataire,0
67,68186.78,124,27628.14,54,0.096527,3,9,405,0.77,3,famille,0
62,59009.14,22,42404.31,13,0.675404,0,3,494,0.11,3,famille,0
52,82461.64,98,28380.39,6,0.231773,5,7,489,0.03,1,famille,1
48,56314.64,160,4648.02,61,0.572746,2,5,430,0.69,5,locataire,0
46,86552.01,53,4401.63,16,0.485841,2,3,496,0.14,3,famille,0
24,18612.25,174,40292.9,62,0.785389,5,7,773,0.66,0,famille,0
37,28914.56,227,9876.82,82,0.356595,1,7,615,0.72,2,famille,0
42,83907.89,95,NA,7,0.758791,3,10,577,0.82,5,proprietaire,1
43,17538.8,1,23629.51,38,0.713648,6,7,699,0.68,3,famille,0
51,75849.94,11,7107.93,56,0.039103,0,6,736,0.73,0,locataire,0
57,46963.76,197,10333.41,34,0.048216,5,7,814,0.02,0,famille,0
67,45433.76,NA,3433.34,58,0.457146,4,10,535,0.03,0,proprietaire,1
59,53363.22,86,9221.85,50,0.634475,0,4,NA,0.04,4,locataire,0
22,59475.25,162,20324.93,8,0.745403,1,10,520,0.06,3,proprietaire,0
27,62598.03,167,35253.6,63,0.511991,3,4,573,0.77,1,famille,0
41,84488.59,62,37627.41,80,0.186418,6,2,743,0.88,6,proprietaire,0
67,93569.26,228,33889.28,71,0.46318,5,3,467,0.31,4,locataire,0
35,67151.15,194,32932.52,32,0.393969,6,4,647,0.77,3,famille,0
41,43577.77,204,33093.86,29,0.272082,6,11,509,0.33,3,locataire,0
26,61443.11,93,44242.82,71,0.567061,3,3,663,0.99,5,proprietaire,0
39,28311.66,144,44854.57,79,0.697199,3,1,770,0.93,1,proprietaire,1
25,72329.46,155.37,9969.54,12,0.619338,1,2,710,0.7,5,famille,0
55,72012.69,187,39711.78,12,0.840161,1,7,620,0.49,1,proprietaire,1
45,38783.45,73,12129.24,34,0.381089,2,10,529,0.94,6,proprietaire,0
34,54872.94,181,23412.26,56,0.550921,4,10,402,0.03,6,famille,0
56,40591.9,99,21000.83,33,0.030021,4,8,678,0.75,2,famille,0
30,14159.03,205,17486.81,23,0.083458,2,7,809,0.3,6,proprietaire,0
22,39495.87,27,43549.07,50,0.486151,6,8,796,0.51,1,proprietaire,1
35,22266.72,40,9723.95,32,0.535634,7,2,561,0.29,3,famille,0
22,80859.82,199,15838.41,56,0.596859,7,1,488,0.71,3,locataire,0
64,90084.67,13,13933.95,57,0.109845,7,6,509,0.01,4,famille,0
22,52401.74,178,42393.87,58,0.613135,5,6,782,0.26,2,proprietaire,0
24,50171.68,141,18796.17,84,0.591442,4,11,724,0.04,6,famille,0
36,23669.3,164,36029.88,13,0.467619,3,5,597,0.3,3,locataire,0
52,74296.86,38,33667.43,65,0.132624,2,3,666,0.4,0,proprietaire,0
67,68915.86,99,18018.85,20,0.449589,5,8,511,0.38,0,proprietaire,0
38,92613.62,144,2082.18,27,0.24891,4,6,473,0.43,1,famille,0
61,92754.3,186,22691.74,61,0.076071,0,2,416,0.33,5,locataire,0
