distance_km,poids_kg,volume_m3,cout_transport,delai_preparation_h,nb_points_passage,score_qualite_route,meteo_risque,promesse_delai_h,jour_semaine,transporteur,priorite,retard
2635.86,66.5,1.58,301.57,2.95,2,45.71,92.39,232.28,3,T2,standard,1
2556.6,37.73,2.79,26.77,55.65,9,54.41,79.49,130.33,4,T2,express,1
2947.54,19.24,2.93,301.26,65.21,10,21.78,10.35,73.45,5,T1,standard,1
2056.93,102.1,3.33,183.2,4.39,9,38.33,78.68,195.0,1,T1,express,1
448.46,81.19,0.13,49.07,56.61,9,45.98,43.17,143.46,5,T2,standard,0
1147.26,49.97,2.21,287.51,62.52,4,77.07,41.38,17.36,2,T1,standard,0
895.93,64.03,1.36,373.7,50.78,8,73.96,53.76,232.48,1,T2,standard,0
510.64,52.99,2.01,118.03,16.57,7,69.51,46.71,118.34,7,T3,express,0
3053.3,57.51,0.59,326.44,49.76,8,7.02,84.98,41.46,5,T3,express,1
1799.61,99.7,2.72,357.67,59.42,3,66.32,37.21,36.76,4,T2,standard,1
1839.03,87.45,3.07,420.94,17.72,17,96.95,87.94,143.87,5,T1,standard,1
1229.51,112.12,0.24,444.19,24.51,9,98.1,66.53,134.99,3,T2,standard,0
707.54,46.26,0.09,111.87,64.3,13,58.37,32.0,132.05,5,T2,express,0
895.96,78.06,3.09,52.67,31.88,18,44.69,90.45,229.2,1,T1,express,1
3182.64,94.71,2.8,27.92,3.65,9,38.98,7.79,171.41,7,T2,standard,1
1629.71,87.52,2.14,412.01,66.79,4,1.62,32.83,159.09,5,T1,standard,1
550.69,54.41,0.73,302.23,33.2,16,25.89,50.38,154.66,6,T1,standard,0
989.46,79.35,2.7,364.87,55.36,18,11.57,63.74,179.59,4,T2,standard,1
2452.21,80.29,1.42,334.8,4.23,16,8.92,8.57,116.68,7,T3,express,1
519.16,33.18,1.56,147.8,8.92,17,19.86,83.58,129.44,5,T2,standard,0
160.39,80.09,2.92,148.88,"67,51",16,47.63,66.34,166.46,1,T3,express,0
476.7,42.66,0.93,41.54,64.94,5,52.93,37.77,89.18,3,T2,standard,0
292.99,36.39,0.26,275.78,56.86,4,30.45,21.95,165.7,7,T3,standard,0
905.74,102.53,2.13,84.39,60.97,5,60.69,85.34,103.09,4,T1,standard,1
141.91,,0.26,370.09,11.39,17,71.86,8.18,218.19,2,T1,standard,0
1854.04,60.86,1.8,370.3,52.81,11,99.57,11.76,169.2,2,T1,standard,1
2576.64,103.15,3.15,352.86,15.47,16,45.45,37.93,94.5,6,T2,standard,1
2991.45,39.25,1.82,104.85,32.27,3,13.25,74.44,235.58,1,T3,express,1
1794.17,83.94,2.49,400.43,62.75,6,84.19,61.32,235.14,1,T3,standard,1
458.8,36.95,0.39,257.75,70.76,4,34.66,58.87,219.26,5,T3,standard,0
2582.43,9.77,2.56,356.45,35.07,2,76.17,51.89,211.33,6,T1,express,1
1549.14,96.06,1.98,395.91,24.7,6,64.12,1.76,7.0,7,T3,express,1
2302.99,67.78,0.92,79.37,52.77,9,43.97,86.04,221.14,2,T1,express,1
2188.59,14.92,0.85,163.27,48.77,14,56.72,58.83,32.75,1,T2,standard,0
1270.83,117.04,2.27,37.44,54.86,5,74.11,95.25,149.27,3,T2,express,1
1699.55,37.54,2.08,44.06,48.09,7,6.79,23.46,201.83,5,T2,express,0
492.1,33.61,3.4,244.36,14.41,9,28.51,42.8,231.96,6,T1,standard,0
2760.99,63.19,1.9,441.51,65.95,2,99.49,24.8,395.3,1,T1,express,1
3152.55,1.55,2.44,330.43,46.98,15,82.86,10.09,181.63,2,T2,express,1
2040.18,91.35,1.52,79.27,37.84,18,11.31,41.8,175.94,4,T2,express,1
2197.61,106.85,3.37,61.33,18.15,6,17.36,60.29,28.78,4,T2,standard,1
282.47,94.64,1.03,75.81,9.99,1,67.04,0.03,83.61,6,T3,standard,0
92.7,26.97,1.13,269.02,3.65,9,47.94,49.45,120.9,4,T3,express,0
226.82,27.63,0.14,361.43,59.15,10,72.05,21.73,131.11,4,T3,express,0
743.54,63.47,0.18,353.78,26.36,17,35.69,18.1,236.33,4,T1,express,0
683.87,47.56,1.68,305.03,54.46,3,49.87,75.53,106.97,2,T3,standard,0
2658.44,74.49,3.01,356.06,60.39,4,0.6,68.21,54.92,3,T1,express,1
2794.39,74.11,2.96,356.58,40.94,5,54.43,70.86,199.73,5,T2,standard,1
2143.98,56.41,1.9,353.62,43.33,6,77.87,0.87,190.82,2,T2,express,1
2330.75,69.22,0.42,81.25,50.51,11,85.98,16.36,30.43,3,T3,standard,1
2011.25,25.03,1.25,158.8,36.86,18,60.66,47.98,,5,T1,express,0
3008.02,116.04,2.58,435.85,42.2,13,47.16,29.57,186.23,4,T2,standard,1
2788.52,14.37,2.72,121.7,7.84,9,5.61,49.89,55.96,1,T3,express,1
3120.02,105.54,2.64,284.06,26.39,6,30.98,74.14,212.81,2,T2,standard,1
3121.51,24.64,2.41,210.62,3.02,18,77.33,60.85,61.62,6,T1,express,1
2828.54,101.84,1.89,52.07,2.58,12,11.59,56.37,86.15,2,T3,express,1
910.96,118.36,1.1,189.98,44.96,4,25.67,70.11,165.34,5,T1,express,0
515.6,9.38,1.88,159.57,38.74,5,46.02,23.69,120.42,21.7,T3,standard,0
1705.01,65.39,0.75,156.34,45.54,7,64.37,37.13,91.56,3,T2,standard,0
