age,revenu_annuel,anciennete_emploi_mois,montant_credit,duree_credit_mois,taux_endettement,nb_credits_actifs,historique_impayes_24m,score_bureau,ratio_utilisation_cartes,nb_enfants,logement,defaut
62,27348.01,137,37285.09,16,0.222552,5,10,811,0.49,4,proprietaire,0
54,83242.28,208,38851.01,62,0.05607,0,7,601,0.46,5,famille,0
37,36387.24,27,21499.34,18,0.584025,0,1,783,0.04,2,locataire,0
54,51863.71,39,14479.58,22,0.420413,4,9,505,0.21,2,famille,1
39,37271.97,213,18653.27,25,0.53407,6,7,559,0.42,3,famille,0
68,84920.14,9,27694.35,55,0.325309,7,7,417,NA,2,locataire,0
35,33273.41,85,14592.39,72,0.208799,0,3,640,0.56,6,famille,0
46,60075.98,187,41965.28,7,0.178553,42.69,12,611,0.74,0,locataire,0
37,48243.63,11,40631.19,65,0.691231,5,11,494,0.64,4,famille,0
23,82158.42,129,19319.2,27,0.596835,2,11,630,0.76,4,proprietaire,0
44,36094.62,107,11779.38,37,0.490273,3,8,486,0.88,0,proprietaire,1
48,58282.72,130,8991.92,49,0.219975,0,4,505,0.62,1,locataire,0
62,47974.12,225,32460.29,74,0.382807,2,11,432,0.87,3,famille,1
45,53701.28,226,23851.61,29,0,1,11,777,0.33,1,locataire,0
22,26485.35,161,22288.8,61,0.499878,0,7,570,0.44,4,proprietaire,0
23,46353.25,44,24249.68,21,0.45146,0,0,401,0.63,2,locataire,0
51,22201.65,120,20505.27,11,0.624136,6,5,669,0.98,6,proprietaire,0
27,16491.7,184,16395.91,74,0.467903,0.0,6,451,0.01,4,locataire,0
53,77486.25,85,39062.11,45,0.359947,4,9,601,0.24,2,proprietaire,0
67,63856.01,178,23987.31,29,0.142541,,0,775,0.91,3,famille,0
55,12025.25,125,44200.48,39,0.455651,3,1,551,0.87,3,proprietaire,1
62,42282.2,102,13432.96,54,0.05788,5,1,729,0.85,3,famille,1
64,20390.85,1,23856.18,19,0.474546,6,6,508,0.85,0,famille,0
42,74589.58,121,34570.57,26,0.660281,4,8,649,0.92,6,famille,1
65,59514.12,111,14331.13,71,0.391746,5,2,713,0.28,3,famille,0
34,35040.23,164,22656.17,42,0.018689,7,6,629,0.77,0,proprietaire,0
68,87503.46,103,18801.81,43,0.188881,1,5,428,0.88,1,proprietaire,1
55,73697.51,190,29477.27,58,0.048269,3,8,647,0.23,6,famille,1
