temperature_c,vibration,humidite_pct,pression_bar,heures_utilisation_jour,nb_alertes_7j,derniere_maintenance_jours,nb_interventions_12m,consommation_kwh_j,indice_usure,site,equipement_type,panne_30j
87.97,7.22,65.46,3.41,18.68,8,719,1,53.9,31.15,B,convoyeur,1
78.43,10.22,20.21,2.21,18.18,4,201,13,456.1,42.29,C,pompe,1
77.76,4.58,28.73,9.16,17.86,12,236,8,87.39,9.66,A,compresseur,0
77.56,14.12,11.56,7.36,2.38,12,455,7,566.66,68.58,B,pompe,1
44.76,6.89,33.04,5.91,3.96,6,568,12,35.81,13.84,C,compresseur,0
93.38,8.27,57.73,2.74,17.58,25,262,5,286.11,89.81,B,pompe,1
43.8,8.08,63.65,9.3,16.48,1,262,9,378.11,97.45,A,compresseur,0
42.99,11.03,59.8,8.94,10.62,14,101,5,248.71,76.04,A,compresseur,0
85.75,7.14,86.39,9.0,21.78,13,274,6,251.43,27.64,A,convoyeur,1
90.88,16.18,17.28,2.36,16.71,1,570,4,15.57,64.49,C,compresseur,1
87.14,5.86,83.01,3.4,9.45,22,150,2,61.09,33.53,A,pompe,1
42.05,11.88,91.97,9.1,4.78,21,254,9,134.46,77.72,C,pompe,0
91.7,9.1,29.05,9.4,11.08,21,338,1,652.18,23.15,B,pompe,1
63.32,3.94,35.72,5.66,2.75,19,177,12,712.43,97.32,C,pompe,0
65.55,12.15,84.07,3.09,14.15,15,585,0,414.44,58.84,C,convoyeur,1
63.97,4.67,69.17,8.6,11.6,22,255,2,296.94,10.57,A,convoyeur,0
68.5,1.94,58.73,4.0,8.97,1,532,9,154.13,54.45,C,pompe,0
75.43,11.56,48.59,5.45,8.32,4,280,5,312.6,97.32,C,compresseur,1
42.21,10.31,60.3,0.87,,10,502,8,582.49,29.57,A,compresseur,0
59.31,18.32,53.26,8.55,19.92,13,283,17,274.96,0.96,C,pompe,1
38.65,0.51,64.36,7.96,10.66,10,69,12,310.29,42.28,C,pompe,0
90.7,6.44,49.44,4.79,19.78,12,79,15,652.84,95.31,C,compresseur,1
91.52,11.77,62.35,2.59,15.77,13,29,14,204.44,95.3,A,compresseur,1
57.07,1.36,19.77,8.19,17.05,8,677,16,546.58,30.26,B,pompe,0
58.07,9.42,40.05,6.94,14.09,17,681,18,164.2,70.68,A,compresseur,0
43.86,5.71,81.22,4.34,12.85,3,155,11,111.79,44.13,A,convoyeur,0
69.35,6.98,68.51,2.46,4.92,6,716,13,463.91,70.94,B,compresseur,1
39.59,14.96,10.34,5.89,17.97,22,333,5,451.86,37.61,,pompe,0
66.19,5.8,32.29,3.4,1.35,12,448,9,103.2,71.18,C,compresseur,0
50.9,15.51,13.93,2.44,10.52,13,133,0,767.1,59.35,A,convoyeur,0
68.27,8.64,31.36,1.66,20.93,13,624,12,272.37,40.87,A,compresseur,0
62.78,7.5,65.04,2.47,3.07,13,639,16,519.82,24.84,A,pompe,0
46.34,8.1,33.62,9.44,4.24,20,645,17,803.61,92.6,C,convoyeur,0
79.79,16.25,49.98,5.73,16.33,,84,12,206.9,19.89,A,compresseur,1
43.38,4.13,50.8,6.57,20.72,7,175,9,462.58,85.79,C,convoyeur,0
76.25,5.56,38.91,8.34,6.61,25,3759.3,4,143.16,91.24,B,convoyeur,1
37.34,12.89,32.17,5.42,8.34,15,549,17,369.81,53.55,A,pompe,0
84.73,10.52,66.26,2.1,1.3,13,170,16,739.51,24.79,C,pompe,1
76.84,9.78,73.79,7.89,1.92,13,230,11,581.58,88.41,C,pompe,1
69.76,5.09,22.19,6.26,14.05,20,540,4,236.69,89.1,A,compresseur,0
51.02,3.43,65.08,5.98,1.43,13,225,0,597.42,74.19,B,convoyeur,0
36.71,2.93,62.97,7.38,12.4,25,98,18,607.02,31.9,C,pompe,0
35.95,8.69,54.54,6.75,10.34,4,513,8,276.86,12.3,C,compresseur,0
76.67,1.81,91.74,8.22,11.43,3,262,11,324.83,43.46,C,compresseur,1
59.28,7.51,44.45,4.23,7.87,2,99,11,583.35,65.63,C,,0
75.24,0.29,79.66,3.96,18.16,11,92,1,785.37,90.97,B,pompe,1
72.5,2.29,21.86,6.85,17.42,9,66,5,462.27,14.58,B,pompe,0
46.38,15.81,32.87,2.91,11.57,24,653,6,497.74,51.44,B,pompe,0
42.26,4.27,24.65,2.12,15.23,3,688,,681.93,65.95,B,pompe,0
61.2,0.47,26.69,8.07,19.05,11,547,10,197.17,6.95,C,pompe,0
85.16,6.18,73.35,6.74,14.01,16,677,18,519.22,84.01,B,convoyeur,1
49.23,10.53,43.71,6.92,1.49,1,272,11,375.8,95.87,B,compresseur,0
59.19,5.34,15.74,9.35,21.54,,461,6,390.15,18.9,A,compresseur,0
88.14,11.68,21.35,6.22,7.54,21,72,1,56.17,10.09,A,compresseur,1
78.95,11.44,37.4,8.45,21.84,6,50,18,184.73,12.13,C,compresseur,1
57.28,4.95,44.61,2.82,4.83,4,665,6,364.35,46.29,A,pompe,0
53.08,9.81,33.46,1.23,4.89,6,65,10,272.55,39.36,A,convoyeur,0
50.54,8.58,76.95,3.76,14.75,15,424,8,311.95,60.56,A,convoyeur,0
55.16,8.54,59.29,2.67,14.84,23,354,3,694.16,88.67,A,compresseur,0
90.04,4.74,78.74,5.36,2.67,3,53,9,263.6,90.8,C,pompe,1
79.2,1.07,83.7,2.51,2.3,6,434,14,713.86,27.52,C,pompe,1
93.81,15.01,64.7,3.57,14.38,0,583,18,219.46,21.9,C,compresseur,1
58.78,0.77,40.54,7.73,8.07,23,261,15,246.63,58.82,C,convoyeur,0
36.13,11.96,25.87,8.74,,1,239,9,143.08,34.86,A,convoyeur,0
,2.35,74.85,7.34,4.57,2,386,3,248.04,73.11,A,pompe,0
39.12,16.14,56.39,8.61,11.93,0,27,14,564.76,33.45,C,convoyeur,0
86.31,15.93,15.52,3.86,7.08,1,218,9,91.34,62.07,B,pompe,1
94.64,2.43,46.49,1.34,20.92,17,178,2,791.93,1.67,A,compresseur,1
59.39,14.67,35.17,2.52,11.38,13,74,10,332.95,40.15,C,compresseur,0
54.81,1.14,55.3,2.45,21.88,18,257,15,640.92,50.88,B,compresseur,0
50.57,10.53,72.65,3.87,15.94,13,405,12,582.68,73.28,C,convoyeur,0
77.79,13.63,48.22,,16.97,20,342,12,618.0,88.51,A,pompe,1
82.9,9.46,53.73,6.51,10.91,8,564,6,548.9,55.94,C,pompe,1
52.78,9.48,46.35,4.54,10.02,4,334,3,325.46,7.63,C,convoyeur,0
60.45,15.88,64.25,6.46,4.02,14,555,18,846.66,28.46,A,convoyeur,1
64.98,18.27,25.28,5.8,14.33,4,341,9,645.47,33.6,C,pompe,1
72.91,10.68,87.05,6.07,17.56,4,88,3,617.43,4.59,A,convoyeur,1
62.77,10.36,16.04,4.27,21.0,22,39,5,771.24,95.47,A,compresseur,0
73.83,14.51,56.53,5.24,10.59,17,372,14,718.19,83.32,C,convoyeur,1
43.76,14.69,43.16,5.32,15.08,22,92,17,306.37,85.48,A,compresseur,0
79.42,7.37,16.5,9.26,5.01,11,485,14,88.77,16.24,B,compresseur,1
81.55,14.08,45.21,1.3,14.2,14,257,10,800.59,40.01,C,convoyeur,1
48.44,9.98,18.72,8.23,16.42,15,32,5,785.19,22.45,C,compresseur,0
66.28,2.17,51.72,8.87,15.04,18,108,3,409.78,69.38,C,convoyeur,0
83.01,11.78,35.78,4.72,5.35,13,720,1,628.34,58.43,C,compresseur,1
86.48,1.84,35.46,7.11,8.05,1,120,9,775.69,54.71,C,convoyeur,1
92.3,12.46,14.2,6.26,12.4,22,517,2,16.76,73.37,B,pompe,1
70.29,17.43,11.75,6.0,17.43,18,452,10,148.77,35.55,B,convoyeur,1
83.01,14.25,28.63,3.66,9.25,15,335,7,124.26,49.03,C,convoyeur,1
64.01,17.48,22.94,6.46,17.1,3,302,18,386.55,59.03,A,pompe,1
68.13,9.7,90.17,7.18,12.84,20,127,17,601.59,56.62,B,pompe,1
55.33,5.51,91.3,6.31,12.63,9,212,8,756.53,82.79,C,pompe,0
82.16,5.09,22.76,4.93,8.09,4,252,16,335.51,53.69,C,pompe,1
55.11,5.25,13.78,7.76,14.83,13,624,11,727.85,19.77,B,convoyeur,0
44.89,0.26,43.48,4.5,18.86,1,610,2,291.05,41.98,A,compresseur,0
58.67,5.11,16.71,6.19,10.46,1,467,5,47.81,63.74,A,compresseur,0
70.63,15.48,48.31,6.55,4.64,25,531,14,186.54,89.7,,compresseur,1
72.28,8.63,13.38,5.36,8.4,12,277,8,70.33,28.82,A,compresseur,0
81.51,5.54,83.3,8.35,6.53,1,158,10,687.68,19.68,B,compresseur,1
41.32,3.45,90.66,4.14,11.17,20,491,2,752.83,72.96,A,convoyeur,0
35.17,12.65,48.58,3.03,16.39,9,245,10,614.6,43.2,C,pompe,0
88.54,2.5,83.76,3.69,6.5,11,185,2,300.06,41.88,B,pompe,1
87.03,8.96,19.24,5.32,18.93,6,273,14,180.09,98.08,A,compresseur,1
68.84,10.65,90.09,1.37,8.65,3,56,4,547.89,26.14,C,compresseur,1
88.19,13.88,64.42,6.33,4.43,19,606,3,248.31,3.26,B,convoyeur,1
45.95,13.7,13.41,3.53,9.91,0,463,4,840.94,84.29,C,pompe,0
38.31,12.85,36.19,7.94,6.13,9,418,5,298.78,76.52,A,compresseur,0
40.54,14.06,16.24,7.24,1.65,25,413,13,634.05,34.31,A,convoyeur,0
94.0,16.78,14.64,5.41,19.4,22,579,12,788.23,51.43,B,pompe,1
42.94,9.02,33.41,5.22,9.6,8,630,4,499.48,75.6,B,convoyeur,0
62.25,17.82,83.48,5.89,14.3,18,448,10,27.55,92.91,C,pompe,1
69.53,18.04,63.48,7.34,21.89,18,189,10,347.33,44.79,C,convoyeur,1
92.06,17.04,16.33,7.26,2.62,22,484,11,631.0,95.42,C,pompe,1
73.74,5.29,47.74,4.42,9.86,0,580,1,653.78,0.5,C,,1
89.94,6.44,64.13,8.08,9.77,23,513,13,275.03,20.27,C,convoyeur,1
